nome;endereco;longitude;latitude
Câmera 150;Largo do Cabanga - Ponte do Pina;-34.891049;-8.080844
Câmera 151;Av. Herculano Bandeira - Semáforo 137;-34.885291;-8.088795
Câmera 152;Av. Agamenon Magalhães - sentido Olinda;-34.884789;-8.042955
Câmera 153;Av. Boa Viagem - 3º Jardim;-34.888551;-8.108781
Câmera 154;Av Engenhriro Abdias de Carvalho - próx à lombada eletrônica;-34.934995;-8.063758
Câmera 155;Av. Mascarenhas de Moraes - próx. ao Aeroporto Internacional do Guararapes;-34.915872;-8.13007
Câmera 156;Av Recife - próx. ao Supermercado Hiper Bompreço;-34.928312;-8.099239
Câmera 157;Av. Cruz Cabugá - próx. à rua Frei Cassimiro;-34.877896;-8.048875
Câmera 158;Av. Boa Viagem - Polo Pina;-34.882156;-8.09196
Câmera 159;Av. Visconde de Jequitinhonha - próx. à Rua Barão de Souza Leão;-34.90253;-8.130581
Câmera 160;Av. Sul;-34.894728;-8.076826
Câmera 161;Rua Madre de Deus x Rua Marquês de Olinda;-34.873652;-8.063617
Câmera 162;Av. Domingos Ferreira em frente ao Extra;-34.889512;-8.105273
Câmera 163;Av. Agamenon Magalhães x Praça do Derby - Sent. Olinda;-34.897664;-8.056638
Câmera 164;Largo do Cabanga - Joana Bezerra;-34.891956;-8.079051
Câmera 165;Av. Conde da Boa Vista x Rua da Soledade;-34.890191;-8.057498
Câmera 166;Av. Conde da Boa Vista x Rua do Hospício;-34.884183;-8.0606
Câmera 167;Av. Conde da Boa Vista x Rua Dom Bosco;-34.895499;-8.055915
Câmera 168;Av. Boa Viagem em frente Parque Dona Lindu;-34.903406;-8.141328
Câmera 169;Rua Arquiteto Luiz Nunes - Próx. ao sem. 399;-34.909591;-8.086
Câmera 170;Av. Maurício de Nassau;-34.930443;-8.03891
Câmera 171;Av. Afonso Olindense;-34.957694;-8.039688
Câmera 172;Av. Conselheiro Aguiar - Conj. Pernambucano;-34.886929;-8.101464
Câmera 173;Av. General San Martin;-34.927883;-8.06772
Câmera 174;Av. Domingos Ferreira - Próximo ao Bom Preço;-34.902077;-8.130484
Câmera 175;Av. Agamenon Magalhães - Sent. Boa Viagem;-34.884856;-8.04219
Câmera 176;Av. Norte - Próximo à Av. João de Barros;-34.892231;-8.038517
Câmera 177;Av. Conselheiro Aguiar - Próximo à rua Padre Carapuceiro;-34.8965;-8.119406
Câmera 178;Viaduto Capitão Temudo;-34.895588;-8.071233
Câmera 179;A. Dr. José Rufino - em frente à Igreja;-34.943079;-8.093111
Câmera 180;Av. Recife - Entrada do Ibura;-34.927153;-8.1069
Câmera 181;Av. Antônio de Góes - Próximo ao Posto BR;-34.886747;-8.085441
Câmera 182;Av. Agamenon Magalhães - em frente ao Hospital Português;-34.897546;-8.063651
Câmera 183;Av. Agamenon Magalhães - Próximo aos Bancos Itaú;-34.897217;-8.062616
Câmera 184;Av. Agamenon Magalhães x Rua Dr. Leopoldo Lins;-34.892814;-8.048904
Câmera 185;Av. Agamenon Magalhães x Rua Buenos Aires;-34.893029;-8.048511
Câmera 186;Av. Conselheiro Rosa e Silva;-34.89711;-8.044426
Câmera 187;Av. Agamenon Magalhães - Praça do Derby Sent. Boa Viagem;-34.898079;-8.056573
Câmera 188;Av. Engenheiro José Estelita;-34.890408;-8.077012
Câmera 189;Rua José Osório c/ Rua Real da Torre;-34.908757;-8.053504
Câmera 190;R. Real da Torre c/ Av. Caxangá;-34.914245;-8.054072
Câmera 191;Av. Antônio de Góes - Início;-34.884475;-8.087629
Câmera 192;Cais de Sta. RIta - Viaduto das Cinco Pontas;-34.877373;-8.071536
Câmera 193;Av. Rui Barbosa;-34.903291;-8.041468
Câmera 194;Cais José Estelita Próx. à Lombada Eletrônica;-34.885401;-8.075036
Câmera 195;Av. Agamenon Magalhães c/ Rua Joaquim Nabuco;-34.896709;-8.053153
Câmera 196;Av. 17 de Agosto - BarChef;-34.923375;-8.032467
Câmera 197;Cais do Apolo - Em frente à PCR;-34.871936;-8.054322
Câmera 200;Via Mangue 1 - Ponte Paulo Guerra;-34.891417;-8.081941
Câmera 201;Via Mangue 2 - Rio Mar;-34.891334;-8.087608
Câmera 202;Via Mangue 3 - Aeroclube;-34.892825;-8.095032
Câmera 203;Via Mangue 4 - Extra;-34.890333;-8.104072
Câmera 204;Via Mangue 5 - Acesso Fernando S. Barbosa;-34.899675;-8.109981
Câmera 205;Via Mangue 6 - Antônio Falcão;-34.901797;-8.112545
